Time,               Close,Daily_Transcations
2009-01-03,0,1
2009-01-04,0,0
2009-01-05,0,0
2009-01-06,0,0
2009-01-07,0,0
2009-01-08,0,0
2009-01-09,0,14
2009-01-10,0,31
2009-01-11,0,106
2009-01-12,0,95
2009-01-13,0,116
2009-01-14,0,126
2009-01-15,0,136
2009-01-16,0,117
2009-01-17,0,109
2009-01-18,0,101
2009-01-19,0,120
2009-01-20,0,118
2009-01-21,0,115
2009-01-22,0,76
2009-01-23,0,68
2009-01-24,0,201
2009-01-25,0,195
2009-01-26,0,116
2009-01-27,0,105
2009-01-28,0,103
2009-01-29,0,122
2009-01-30,0,122
2009-01-31,0,129
2009-02-01,0,118
2009-02-02,0,127
2009-02-03,0,150
2009-02-04,0,126
2009-02-05,0,121
2009-02-06,0,129
2009-02-07,0,130
2009-02-08,0,135
2009-02-09,0,129
2009-02-10,0,127
2009-02-11,0,132
2009-02-12,0,119
2009-02-13,0,124
2009-02-14,0,141
2009-02-15,0,125
2009-02-16,0,123
2009-02-17,0,119
2009-02-18,0,124
2009-02-19,0,117
2009-02-20,0,129
2009-02-21,0,110
2009-02-22,0,125
2009-02-23,0,107
2009-02-24,0,111
2009-02-25,0,107
2009-02-26,0,96
2009-02-27,0,123
2009-02-28,0,103
2009-03-01,0,107
2009-03-02,0,104
2009-03-03,0,108
2009-03-04,0,106
2009-03-05,0,108
2009-03-06,0,119
2009-03-07,0,111
2009-03-08,0,115
2009-03-09,0,113
2009-03-10,0,105
2009-03-11,0,108
2009-03-12,0,119
2009-03-13,0,115
2009-03-14,0,116
2009-03-15,0,111
2009-03-16,0,131
2009-03-17,0,115
2009-03-18,0,110
2009-03-19,0,124
2009-03-20,0,119
2009-03-21,0,77
2009-03-22,0,97
2009-03-23,0,132
2009-03-24,0,105
2009-03-25,0,116
2009-03-26,0,114
2009-03-27,0,110
2009-03-28,0,122
2009-03-29,0,112
2009-03-30,0,125
2009-03-31,0,114
2009-04-01,0,107
2009-04-02,0,120
2009-04-03,0,113
2009-04-04,0,113
2009-04-05,0,129
2009-04-06,0,117
2009-04-07,0,99
2009-04-08,0,104
2009-04-09,0,99
2009-04-10,0,103
2009-04-11,0,123
2009-04-12,0,115
2009-04-13,0,118
2009-04-14,0,127
2009-04-15,0,112
2009-04-16,0,123
2009-04-17,0,115
2009-04-18,0,125
2009-04-19,0,121
2009-04-20,0,118
2009-04-21,0,125
2009-04-22,0,121
2009-04-23,0,80
2009-04-24,0,113
2009-04-25,0,122
2009-04-26,0,111
