"transaction_from_key","transaction_to_key","value"
7,782511,15
1199105,787295,4.48e-05
1199105,862861,3.6e-05
1199105,979172,1.84e-05
1199105,794220,2.72e-05
1199105,1199106,8.8e-06
1199105,1092821,2.48e-05
1199105,1168126,2.4e-05
1199105,1109922,8.8e-06
1199105,858823,2.64e-05
1199105,976826,1.76e-05
1199105,1031937,2.72e-05
1199105,825828,3.6e-05
1199105,97,3.6e-05
1199105,842451,3.52e-05
1199105,787469,8.8e-06
1199105,833035,6.32e-05
1199105,87,3.68e-05
1199105,1199107,1.84e-05
1199105,82,2.68e-05
1199105,978178,3.52e-05
1199105,1194740,1.76e-05
1199105,976348,2.4e-05
1199105,8982,1.84e-05
1199105,878514,8.8e-06
1199105,27654,2.4e-05
1199105,87,3.52e-05
1199105,792,1.76e-05
1199105,846,8.8e-06
1199105,2696,1.6e-05
1199105,981063,2.72e-05
1199105,37261,1.84e-05
1199105,787642,1.76e-05
1199105,976798,1.76e-05
1199105,787726,8.8e-06
1199105,1162820,3.6e-05
1199105,1150734,3.6e-05
1199105,4,8e-06
1199105,11,1.84e-05
1199105,858781,1.84e-05
1199105,1148643,2.56e-05
1199105,974973,1.84e-05
1199105,835002,1.84e-05
1199105,787269,8.8e-06
1199105,1059428,8e-06
1199105,6584,1.76e-05
1199105,783126,1.76e-05
1199105,37226,2.4e-05
1199105,1197738,1.76e-05
1199105,27,8.8e-06
1199105,1182195,6.32e-05
1199105,1199108,1.76e-05
1199105,1110009,5.36e-05
1199105,9832,8.8e-06
1199105,848466,1.6e-05
1199105,783218,2.4e-05
1199105,1161046,5.36e-05
1199105,87,3.52e-05
1199105,837359,4.48e-05
1199105,1195589,8.8e-06
1199105,87,3.6e-05
1199105,87,3.52e-05
1199105,862616,8.8e-06
1199105,87,1.76e-05
1199105,87,3.52e-05
1199105,824769,2.72e-05
1199105,23101,3.36e-05
1199105,802614,2.72e-05
1199105,87,1.84e-05
1199105,87,3.52e-05
1199105,1042206,8.8e-06
1199105,858350,1.76e-05
1199105,783240,8.8e-06
1199105,87,1.84e-05
1199105,975526,8.8e-06
1199105,1162469,1.84e-05
1199105,974750,8.8e-06
1199105,18852,2.64e-05
1199105,974698,8e-06
1199105,825570,1.68e-05
1199105,1110028,8.8e-06
1199105,87,3.6e-05
1199105,87,1.84e-05
1199105,975609,8.8e-06
1199105,1199109,4.48e-05
1199105,942646,8.8e-06
1199105,87,1.76e-05
1199105,11,1.84e-05
1199105,979147,3.6e-05
1199105,1154141,1.76e-05
1199105,87,3.6e-05
1199105,1110038,2.64e-05
1199105,1069886,1.84e-05
1199105,976064,2.64e-05
1199105,87,1.76e-05
1199105,839043,1.76e-05
1199105,1069884,8.8e-06
1199105,87,1.76e-05
1199105,87,1.84e-05
1199105,832881,1.6e-05
1199105,974149,1.6e-05
1199105,1119698,1.76e-05
1199105,832857,8.8e-06
1199105,816719,1.76e-05
1199105,872315,5.36e-05
1199105,974496,8.8e-06
1199105,794173,8.8e-06
1199105,1013566,8.8e-06
1199105,848651,8.8e-06
1199105,783045,1.84e-05
1199105,1199110,3.52e-05
1199105,87,1.76e-05
1199105,802905,8.8e-06
1199105,826374,8e-06
1199105,787586,3.2e-05
1199105,787815,2.64e-05
1199105,87,3.52e-05
1199105,932131,1.76e-05
1199105,6767,1.84e-05
1199105,923882,1.76e-05
1199105,787356,8.8e-06
1199105,852537,1.76e-05
1199105,87,1.76e-05
1199105,7499,1.6e-05
1199105,787791,1.68e-05
1199105,802760,5.36e-05
1199105,782997,1.6e-05
1199105,1006088,2.4e-05
1199105,826032,8.8e-06
1199105,1193484,8.8e-06
1199105,8101,1.76e-05
1199105,794069,1.6e-05
1199105,836920,4.48e-05
1199105,1110007,1.84e-05
1199105,839087,8.8e-06
1199105,783244,1.76e-05
1199105,933018,8.8e-06
1199105,87,1.76e-05
1199105,799075,1.6e-05
1199105,1105423,2.64e-05
1199105,11,1.84e-05
1199105,1932,0.000152
1199105,787787,8.8e-06
1199105,1162315,1.84e-05
1199105,75,8.8e-06
1199105,37261,1.84e-05
1199105,787619,1.76e-05
1199105,787800,3.2e-05
1199105,858886,1.84e-05
1199105,1110036,3.6e-05
1199105,857730,8e-06
1199105,974530,2.64e-05
1199105,1146162,3.6e-05
1199105,1109908,1.76e-05
1199105,789616,4.48e-05
1199105,802713,8e-06
1199105,87,3.52e-05
1199105,839140,3.36e-05
1199105,1199111,1.76e-05
1199105,87,1.76e-05
1199105,1199112,2.72e-05
1199105,71,8e-06
1199105,829489,1.76e-05
1199105,277,3.6e-05
1199105,1199113,3.6e-05
1199105,975136,8e-06
1199105,958241,8.8e-06
1199105,87,1.76e-05
1199105,787646,8e-06
1199105,1898,1.84e-05
1199105,11,1.84e-05
1199105,824942,3.52e-05
1199105,829394,5.36e-05
1199105,787794,8e-06
1199105,787714,1.84e-05
1199105,976817,1.76e-05
1199105,1069918,2.64e-05
1199105,1199114,3.6e-05
1199105,1199115,3.6e-05
1199105,842211,8.8e-06
1199105,825449,1.84e-05
1199105,1162556,1.84e-05
1199105,1127440,2.72e-05
1199105,906746,8.8e-06
1199105,1195269,5.36e-05
1199105,835031,1.84e-05
1199105,87,1.76e-05
1199105,1006089,8.8e-06
1199105,787298,8.8e-06
1199105,783201,2.56e-05
1199105,978947,1.8e-05
1199105,87,3.6e-05
1199105,783307,8e-06
1199105,1162677,2.64e-05
1199105,858271,5.36e-05
1199105,48898,1.76e-05
1199105,87,1.76e-05
1199105,787613,1.76e-05
1199105,1904,5.36e-05
1199105,1198544,0.117797
1199105,902069,1.76e-05
1199105,1185263,5.36e-05
1199105,16558,9.6e-06
1199105,28765,2.64e-05
1199105,1199116,5.36e-05
1199105,786747,1.76e-05
1199105,851,3.52e-05
1199105,835901,8.8e-06
1199105,829292,8.8e-06
1199105,981375,3.6e-05
1199105,798912,8.8e-06
1199105,979197,1.76e-05
1199105,1109925,8.8e-06
1199105,1199117,1.84e-05
1199105,902064,1.76e-05
1199105,11,1.76e-05
1199105,20057,8.8e-06
1199105,839034,1.76e-05
1199105,11,1.84e-05
1199105,87,1.84e-05
1199105,11,3.52e-05
1199105,858847,8e-06
1199105,962235,1.6e-05
1199105,2690,2.64e-05
1199105,1098418,1.6e-05
1199105,1111411,2.72e-05
1199105,976458,5.36e-05
1199105,74,5.36e-05
1199105,970806,1.6e-05
